DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,Value,OBS_FLAG
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2011,82230,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2012,91557,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2013,101866,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2014,116262,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2015,166323,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2016,129509,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2017,111801,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2018,105633,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2019,109167,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2020,103565,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2021,118511,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2022,201622,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2011,147377,b
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2012,129477,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2013,120078,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2014,123158,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2015,146626,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2016,123702,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2017,126703,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2018,137860,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2019,150006,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2020,118683,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2021,139743,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2022,208356,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2012,14103,bp
